RawQ1,RawQ2,RawQ3,Word1,Word2,Word3,Word4,Q2,Q3,IsEdited,ClassmatesInOwn,InstructorInOwn
"analytical, communication , organisation, presentations",nervous,expect,analytical,communication,organisation,presentations,nervous,expect,NoEdits,0,0
"Anticipation,excitement,satisfacton,good",excitement,excite,anticipation,excitement,satisfacton,good,excitement,excite,NoEdits,1,0
"Anxious, excited, curious, challenging ",Nervous ,Excited ,anxious,excited,curious,challenging,nervous,excited,NoEdits,0,1
"Anxious, nervous, hopeful, ready",Anxious,Hopeful,anxious,nervous,hopeful,ready,anxious,hopeful,NoEdits,1,1
"anxious, optimistic, naive, unprepared",equal,optimistic,anxious,optimistic,naive,unprepared,equal,optimistic,NoEdits,0,1
"challenging, nervous, fast-paced, stressful",excited,familiar,challenging,nervous,fast-paced,stressful,excited,familiar,NoEdits,0,0
"chill, excited, tiresome, okay",chill,excited,chill,excited,tiresome,okay,chill,excited,NoEdits,1,1
"completely, utterly, not, prepared",confident,breeze,completely,utterly,not,prepared,confident,breeze,NoEdits,0,0
"Complicated,useful,uneasy,tired",Hard,Enjoy,complicated,useful,uneasy,tired,hard,enjoy,NoEdits,0,0
confused ， curious， excited， nervous,curious,excited,confused,curious,excited,nervous,curious,excited,Edited,1,1
"confused, open, interested, anxious ",confused ,prepared ,confused,open,interested,anxious,confused,prepared,NoEdits,1,0
cool scary chill active,chill,chill,cool,scary,chill,active,chill,chill,Edited,1,1
curious happy nervous afraid,great,enjoy,curious,happy,nervous,afraid,great,enjoy,Edited,0,0
"curious, collaborative, writing, tough",nervous,excited,curious,collaborative,writing,tough,nervous,excited,NoEdits,0,0
"Curious, confident, exploring, collaborative",Curious,Anticipating,curious,confident,exploring,collaborative,curious,anticipating,NoEdits,1,0
"Curious, hopeful, nervous, ambitious",Nervous,Helpful,curious,hopeful,nervous,ambitious,nervous,helpful,NoEdits,1,0
"Curious, interested, unsure, motivated",Interested,Enthusiastic,curious,interested,unsure,motivated,interested,enthusiastic,NoEdits,1,0
